ランキング,店舗名,最寄り,評価,URL
1,らぁ麺や 嶋,西新宿五丁目駅,3.99,https://tabelog.com/tokyo/A1304/A130401/13247487/
2,Homemade Ramen 麦苗,大森海岸駅,3.97,https://tabelog.com/tokyo/A1315/A131502/13194812/
3,手打式超多加水麺 ののくら,亀有駅,3.98,https://tabelog.com/tokyo/A1324/A132403/13215713/
4,迂直,荻窪駅,3.96,https://tabelog.com/tokyo/A1319/A131906/13229952/
5,麺尊 RAGE,西荻窪駅,3.88,https://tabelog.com/tokyo/A1319/A131907/13178309/
6,宍道湖しじみ中華蕎麦 琥珀,雑色駅,3.95,https://tabelog.com/tokyo/A1315/A131503/13234195/
7,中華そば しば田,仙川駅,3.94,https://tabelog.com/tokyo/A1326/A132601/13162681/
8,らぁ麺やまぐち,面影橋駅,3.91,https://tabelog.com/tokyo/A1305/A130504/13151200/
9,中華そば 多賀野,荏原中延駅,3.92,https://tabelog.com/tokyo/A1317/A131712/13003421/
10,らーめんMAIKAGURA,千歳船橋駅,3.86,https://tabelog.com/tokyo/A1318/A131813/13218425/
11,麺処 しろくろ,八幡山駅,3.90,https://tabelog.com/tokyo/A1318/A131809/13242508/
12,麺創庵 砂田,庚申塚駅,3.92,https://tabelog.com/tokyo/A1322/A132201/13246362/
13,中華蕎麦にし乃,本郷三丁目駅,3.86,https://tabelog.com/tokyo/A1310/A131004/13218311/
14,麺処 ほん田 秋葉原本店,秋葉原駅,3.87,https://tabelog.com/tokyo/A1310/A131001/13246285/
15,キング製麺,王子駅前駅,3.88,https://tabelog.com/tokyo/A1323/A132303/13232817/
16,中華ソバ 伊吹,志村坂上駅,3.90,https://tabelog.com/tokyo/A1322/A132205/13163874/
17,中華そば べんてん,地下鉄成増駅,3.81,https://tabelog.com/tokyo/A1322/A132204/13200351/
18,一番いちばん,町田駅,3.84,https://tabelog.com/tokyo/A1327/A132701/13001469/
19,中華そば うお青,万願寺駅,3.90,https://tabelog.com/tokyo/A1329/A132903/13229181/
20,メンドコロ キナリ,東中野駅,3.89,https://tabelog.com/tokyo/A1319/A131901/13221001/
21,純手打ち だるま,中野富士見町駅,3.89,https://tabelog.com/tokyo/A1319/A131903/13218715/
22,中華そば　堀川,自由が丘駅,3.87,https://tabelog.com/tokyo/A1317/A131703/13243173/
23,三ん寅,江戸川橋駅,3.91,https://tabelog.com/tokyo/A1309/A130905/13240660/
24,饗 くろ喜,浅草橋駅,3.81,https://tabelog.com/tokyo/A1310/A131001/13127743/
25,創作麺工房 鳴龍,新大塚駅,3.92,https://tabelog.com/tokyo/A1323/A132302/13141302/
26,町田汁場 しおらーめん進化 本店,町田駅,3.89,https://tabelog.com/tokyo/A1327/A132701/13050023/
27,カネキッチン ヌードル,東長崎駅,3.91,https://tabelog.com/tokyo/A1321/A132101/13203355/
28,ラーメン 健やか,三鷹駅,3.86,https://tabelog.com/tokyo/A1320/A132002/13207054/
29,寿製麺 よしかわ 西台駅前店,西台駅,3.83,https://tabelog.com/tokyo/A1322/A132205/13228611/
30,ほっこり中華そば もつけ,八王子駅,3.81,https://tabelog.com/tokyo/A1329/A132904/13192847/
31,自家製中華そば としおか,早稲田駅（メトロ）,3.81,https://tabelog.com/tokyo/A1305/A130504/13182315/
32,中華そば 西川,千歳船橋駅,3.80,https://tabelog.com/tokyo/A1318/A131813/13213036/
33,イルカ トウキョウ,東久留米駅,3.90,https://tabelog.com/tokyo/A1328/A132802/13234223/
34,中華蕎麦 ひら井,北府中駅,3.85,https://tabelog.com/tokyo/A1326/A132602/13259078/
35,神保町 黒須,神保町駅,3.92,https://tabelog.com/tokyo/A1310/A131003/13201888/
36,中華そば 和渦 TOKYO,北品川駅,3.82,https://tabelog.com/tokyo/A1314/A131405/13233678/
37,麺や金時,江古田駅,3.88,https://tabelog.com/tokyo/A1321/A132101/13139195/
38,Ramen にじゅうぶんのいち,東尾久三丁目駅,3.87,https://tabelog.com/tokyo/A1324/A132401/13147594/
39,MENクライ,浜松町駅,3.85,https://tabelog.com/tokyo/A1314/A131401/13255714/
40,ラーメン屋 トイ・ボックス,三ノ輪橋駅,3.80,https://tabelog.com/tokyo/A1324/A132401/13162973/
41,らーめん飛粋,蒲田駅,3.83,https://tabelog.com/tokyo/A1315/A131503/13217922/
