店舗名,最寄り,評価,ランチ,ディナー,URL
ペレグリーノ,広尾駅,4.58,"￥50,000～￥59,999","￥80,000～￥99,999",https://tabelog.com/tokyo/A1303/A130302/13072775/
TACUBO,代官山駅,4.45,-,"￥40,000～￥49,999",https://tabelog.com/tokyo/A1303/A130303/13109940/
三和,白金台駅,4.06,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1316/A131602/13264755/
SALONE TOKYO,日比谷駅,3.93,"￥10,000～￥14,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1301/A130102/13218266/
プリズマ,表参道駅,3.90,-,"￥30,000～￥39,999",https://tabelog.com/tokyo/A1306/A130602/13123890/
ボッテガ,広尾駅,3.89,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13204358/
イル テアトリーノ ダ サローネ,広尾駅,3.86,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13110652/
ヴィンチェロ,新宿御苑前駅,3.85,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1304/A130402/13004299/
K+,広尾駅,3.85,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130703/13213748/
インカント,広尾駅,3.85,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13043684/
ARMONICO,代官山駅,3.85,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130303/13156479/
フィオッキ,祖師ケ谷大蔵駅,3.84,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1318/A131814/13003427/
ICARO miyamoto,中目黒駅,3.84,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13050216/
RODEO,中目黒駅,3.84,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13213575/
ダペピ,巣鴨駅,3.82,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1323/A132301/13124157/
リストランティーノ ルベロ,目黒駅,3.82,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131601/13045711/
Il Lato,新宿三丁目駅,3.81,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1304/A130401/13256289/
ロマンティコ,白金台駅,3.80,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131602/13021521/
ドンブラボー,国領駅,3.80,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1326/A132601/13144681/
malca,外苑前駅,3.79,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1306/A130603/13277748/
アロマフレスカ,銀座一丁目駅,3.79,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13129298/
Convivio,北参道駅,3.79,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1309/A130901/13149817/
la Brianza,六本木駅,3.79,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13194346/
レガーロ,参宮橋駅,3.79,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1318/A131810/13057629/
WAJO,代官山駅,3.79,-,"￥50,000～￥59,999",https://tabelog.com/tokyo/A1303/A130303/13254957/
カーザ ヴィニタリア,麻布十番駅,3.79,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130702/13010456/
イル プレージョ,代々木上原駅,3.78,"￥8,000～￥9,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1318/A131811/13147391/
リストランテ ペガソ,広尾駅,3.78,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13152248/
ワインレストラン ラ・マルゲリータ,雑色駅,3.77,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1315/A131503/13193685/
トルナヴェント,六本木駅,3.77,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13022053/
リナシメント,目黒駅,3.77,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1317/A131701/13201061/
セルサルサーレ,代官山駅,3.76,"￥3,000～￥3,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13166739/
チニャーレエノテカ,神泉駅,3.76,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1318/A131801/13189915/
FARO,新橋駅,3.76,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13002640/
リストランテ ラ・バリック トウキョウ,江戸川橋駅,3.76,"￥8,000～￥9,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1309/A130905/13044652/
リストランテ ASO,代官山駅,3.75,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130303/13003356/
ペペロッソ,池ノ上駅,3.75,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1318/A131801/13243643/
オステリア セルヴァジーナ,駒込駅,3.75,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1323/A132301/13135740/
ポンテ デル ピアット,広尾駅,3.75,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130703/13166111/
ピアット・スズキ,麻布十番駅,3.74,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13004441/
クリマ ディ トスカーナ,本郷三丁目駅,3.74,"￥5,000～￥5,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1310/A131004/13215781/
mondo,自由が丘駅,3.74,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1317/A131703/13054007/
笠井,都立大学駅,3.74,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1317/A131702/13242439/
L'appartamento di NAOKI,東京,3.74,-,"￥30,000～￥39,999",https://tabelog.com/tokyo/A1302/A130202/13259645/
マンサルヴァ,恵比寿駅,3.74,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13114704/
ビンゴ,広尾駅,3.74,-,"￥30,000～￥39,999",https://tabelog.com/tokyo/A1307/A130703/13016523/
aniko,赤坂駅,3.74,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130801/13240038/
ブルガリ イル・リストランテ ルカ・ファンティン,銀座一丁目駅,3.73,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13045135/
ピアッティ カステリーナ,神楽坂駅,3.73,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13130769/
草片,広尾駅,3.73,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130703/13191105/
Lemon,恵比寿駅,3.73,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13257993/
マジカメンテ,恵比寿駅,3.73,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13121950/
エリオ・ロカンダ・イタリアーナ,半蔵門駅,3.73,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130803/13000293/
トラットリア タンタボッカ,北参道駅,3.73,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1304/A130403/13058484/
リストランテ･ヒロ 青山,表参道駅,3.73,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1306/A130602/13002025/
merachi,乃木坂駅,3.73,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13266913/
アッピア 本店,広尾駅,3.73,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13001593/
リストランテ ラ チャウ,田町駅,3.73,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1314/A131402/13044737/
テストキッチンエイチ,表参道駅,3.73,"￥4,000～￥4,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1306/A130602/13220384/
シチリア屋,東大前駅,3.73,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1323/A132301/13172747/
アロマクラシコ,品川駅,3.72,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1314/A131403/13005730/
インフィニート ヒロ,赤坂駅,3.72,"￥1,000～￥1,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1308/A130801/13253595/
プリンチピオ,麻布十番駅,3.72,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13144481/
LOVAT,恵比寿駅,3.72,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13188570/
アンティカ オステリア カルネヤ,牛込柳町駅,3.72,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13045549/
イル バロンドーロ,恵比寿駅,3.72,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13229964/
イル・ジョット,駒沢大学駅,3.72,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1317/A131707/13001389/
イル・テアトロ,早稲田駅（都電）,3.72,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1309/A130905/13003823/
S'ACCAPAU,六本木駅,3.72,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13195700/
ラ スフォリーナ,乃木坂駅,3.72,"￥4,000～￥4,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1306/A130603/13157731/
オステリア・オリエーラ,新宿三丁目駅,3.72,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1304/A130401/13099830/
オッジ ダルマット 西麻布店,六本木駅,3.72,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13057753/
クオーレアズーロ,中目黒駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13140792/
ラ・ピッコラ・ターヴォラ,永福町駅,3.71,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1318/A131805/13005575/
メグリヴァ,中目黒駅,3.71,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1317/A131701/13225445/
アンティカ・オステリア・デル・ポンテ,二重橋前駅,3.71,"￥10,000～￥14,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1302/A130201/13004061/
サーラ アマービレ,銀座一丁目駅,3.71,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13113809/
リストランテ シンティッラ,中目黒駅,3.71,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1317/A131701/13240309/
TATSUMI,白金台駅,3.71,-,"￥40,000～￥49,999",https://tabelog.com/tokyo/A1316/A131602/13266170/
ロッツォシチリア,白金高輪駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131602/13131551/
リストランテ アクアパッツァ,外苑前駅,3.71,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1306/A130603/13004578/
クッチーナ アッラ バーバ,六本木駅,3.71,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130701/13170144/
リストランテ カシーナ カナミッラ,中目黒駅,3.70,"￥6,000～￥7,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1317/A131701/13020531/
ラ・ビスボッチャ,広尾駅,3.70,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13001647/
テアトロアッカ,神泉駅,3.70,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130301/13266141/
Felicelina,中目黒駅,3.70,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1317/A131701/13130019/
リ・カーリカ,学芸大学駅,3.70,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131702/13152745/
トラットリア ダイ パエサーニ,面影橋駅,3.70,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1305/A130503/13172879/
トルッキオ,九段下駅,3.70,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130906/13002401/
TRATTORIA GANZO,銀座駅,3.70,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13145331/
エミリア,国立競技場駅,3.66,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1306/A130601/13099554/
nerisa,西小山駅,3.66,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131710/13266632/
クチーナ ヒラタ,麻布十番駅,3.65,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130702/13001690/
トラットリア ピッツェリア ラルテ,三軒茶屋駅,3.63,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1317/A131706/13128533/
代官山ASO チェレステ 二子玉川店,二子玉川駅,3.62,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131708/13005519/
biodinamico,渋谷駅,3.61,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13096558/
falo,代官山駅,3.61,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130303/13197255/
Gucci Osteria da Massimo Bottura Tokyo,銀座駅,3.61,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13257180/
アッピア アルタ 西麻布,広尾駅,3.61,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13054090/
フレーゴリ,恵比寿駅,3.59,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13016521/
