店舗名,最寄り,評価,ランチ,ディナー,URL
サンルーカルバー,神楽坂駅,4.34,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1309/A130905/13112228/
バー ノーブル,関内駅,4.21,-,"￥4,000～￥4,999",https://tabelog.com/kanagawa/A1401/A140104/14001349/
バー・バーンズ,伏見駅,4.17,-,"￥5,000～￥5,999",https://tabelog.com/aichi/A2301/A230102/23000103/
カアラ,大江橋駅,4.14,-,"￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270101/27003386/
ロッキングチェア,京都河原町駅,4.11,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260201/26007698/
バー ル・サロン,三宮駅（神戸市営）,4.08,-,"￥6,000～￥7,999",https://tabelog.com/hyogo/A2801/A280101/28001274/
BAR ル・ヴェール,秋田駅,4.06,-,"￥4,000～￥4,999",https://tabelog.com/akita/A0501/A050101/5003742/
ラグナ ザ バー,三宮駅（神戸市営）,4.04,-,"￥3,000～￥3,999",https://tabelog.com/hyogo/A2801/A280101/28005558/
カルバドール,京都市役所前駅,4.02,-,-,https://tabelog.com/kyoto/A2601/A260201/26001936/
バー オスカー,赤坂駅,4.00,-,"￥3,000～￥3,999",https://tabelog.com/fukuoka/A4001/A400104/40000009/
ブルーラベル,静岡駅,3.99,-,"￥8,000～￥9,999",https://tabelog.com/shizuoka/A2201/A220101/22000048/
BAR TALISKER,祇園四条駅,3.97,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260301/26027776/
蚤の市,宮崎駅,3.96,-,"￥2,000～￥2,999",https://tabelog.com/miyazaki/A4501/A450101/45005126/
バー キュラソー,栄駅（名古屋）,3.94,-,"￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230103/23061359/
BAROSSA cocktailier,名鉄岐阜駅,3.93,-,"￥5,000～￥5,999",https://tabelog.com/gifu/A2101/A210101/21000044/
BAR オーパ 銀座,銀座一丁目駅,3.91,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130101/13002248/
スクリュードライバー,吉祥寺駅,3.90,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1320/A132001/13015885/
エル・テソロ,祇園四条駅,3.88,-,"￥3,000～￥3,999",https://tabelog.com/kyoto/A2601/A260301/26004165/
オールドインペリアル バー,日比谷駅,3.87,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130102/13002169/
ハート・ストリングス,中洲川端駅,3.86,-,"￥5,000～￥5,999",https://tabelog.com/fukuoka/A4001/A400102/40000521/
ドゥ・エルミタアヂュ,狸小路駅,3.85,-,"￥6,000～￥7,999",https://tabelog.com/hokkaido/A0101/A010103/1000020/
リトル スミス,銀座駅,3.84,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1301/A130101/13004998/
Bar Tiare,赤坂見附駅,3.84,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1308/A130801/13100967/
BAR 酒仙堂,東銀座駅,3.83,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13014392/
バー・プルーフ,すすきの駅（市営）,3.82,-,"￥3,000～￥3,999",https://tabelog.com/hokkaido/A0101/A010103/1000004/
京都・スタア・バー,三条駅,3.81,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260202/26027655/
BAR 保志,銀座駅,3.81,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13007819/
ザ・バー・カサブランカ,馬車道駅,3.80,-,"￥3,000～￥3,999",https://tabelog.com/kanagawa/A1401/A140104/14001338/
Oak,東京駅,3.79,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130201/13147497/
EST!,湯島駅,3.79,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1311/A131101/13003582/
サンボア 銀座店,銀座駅,3.79,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13005012/
フィンランディア バー,祇園四条駅,3.78,-,"￥3,000～￥3,999",https://tabelog.com/kyoto/A2601/A260301/26001395/
スタア・バー・ギンザ,銀座一丁目駅,3.78,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1301/A130101/13002270/
数寄屋橋サンボア,銀座駅,3.78,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13120361/
Radio,表参道駅,3.77,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1306/A130602/13001207/
バー・ジュニパー,大江橋駅,3.77,-,"￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270101/27057361/
バーやまざき,すすきの駅（市営）,3.76,-,"￥4,000～￥4,999",https://tabelog.com/hokkaido/A0101/A010103/1000001/
Bar K6,京都市役所前駅,3.76,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260202/26001197/
バー・シーガーディアン Ⅱ,元町・中華街駅,3.76,-,"￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140105/14000469/
石の華,渋谷駅,3.75,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13004802/
歯車,飯田橋駅,3.75,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1309/A130905/13045080/
浅草サンボア,浅草駅（つくばＥＸＰ）,3.75,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1311/A131102/13123270/
バー キサラ,赤坂駅,3.75,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1308/A130801/13116198/
ホッピー仙人,桜木町駅,3.75,-,"￥1,000～￥1,999",https://tabelog.com/kanagawa/A1401/A140102/14000448/
クライスラー,日ノ出町駅,3.74,-,"￥3,000～￥3,999",https://tabelog.com/kanagawa/A1401/A140102/14001391/
バー アンダンテ,広瀬通駅,3.74,-,"￥4,000～￥4,999",https://tabelog.com/miyagi/A0401/A040101/4008372/
フォーシーズンズ,銀座駅,3.74,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130101/13037276/
祇園サンボア,祇園四条駅,3.74,-,"￥3,000～￥3,999",https://tabelog.com/kyoto/A2601/A260301/26001401/
エストマーレ,名古屋駅,3.74,-,"￥3,000～￥3,999",https://tabelog.com/aichi/A2301/A230101/23000328/
ワイ アンド エム バー・キスリング,銀座駅,3.73,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130101/13007814/
ザ・コモン・ワン・バー・キョウト,祇園四条駅,3.73,-,"￥5,000～￥5,999",https://tabelog.com/kyoto/A2601/A260301/26016560/
モモタ バー,赤坂駅,3.73,-,"￥3,000～￥3,999",https://tabelog.com/fukuoka/A4001/A400104/40003745/
Bar P.M.9,新橋駅,3.73,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130103/13122052/
