店舗名,最寄り,評価,ランチ,ディナー,URL
グルマンディーズ,広尾駅,4.41,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13190448/
ビストロ ダイア,新栄町駅,4.02,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/aichi/A2301/A230104/23042388/
ベック,県庁前駅,3.79,-,"￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280102/28033177/
ビストロ・シンバ,新富町駅,3.78,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1313/A131301/13186713/
Ata,代官山駅,3.76,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130303/13150975/
a table,末広町駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1310/A131004/13156948/
ダム・ジャンヌ,神泉駅,3.74,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13053893/
ビストロケンヂ,中島駅,3.74,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/aichi/A2301/A230113/23038427/
ラ ペッシュ,上前津駅,3.74,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/aichi/A2301/A230105/23039569/
ビストロアム,恵比寿駅,3.74,"￥5,000～￥5,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13186920/
IBAIA,東銀座駅,3.73,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13159072/
ブノワ,表参道駅,3.73,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1306/A130602/13019489/
コム・ア・ラ・メゾン,赤坂駅,3.73,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130801/13002186/
BOLT,牛込神楽坂駅,3.73,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13210695/
NOURA,浅草駅（つくばＥＸＰ）,3.72,"￥8,000～￥9,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1311/A131102/13225246/
IZAKAYA VIN,渋谷駅,3.72,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13002063/
ラ・トォルトゥーガ,北浜駅,3.71,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270102/27003337/
ラミティエ,高田馬場駅,3.71,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1305/A130503/13004131/
シャルキュ,虎ノ門駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130802/13151443/
デュ バリー,池尻大橋駅,3.70,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1317/A131705/13110276/
アベス,恵比寿駅,3.70,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13143821/
Le Bonze,東銀座駅,3.69,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13144110/
ポアジェ,鎌倉駅,3.69,"￥4,000～￥4,999","￥6,000～￥7,999",https://tabelog.com/kanagawa/A1404/A140402/14048268/
コンコンブル,渋谷駅,3.68,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130301/13004708/
カルナヴァル,矢場町駅,3.68,-,"￥6,000～￥7,999",https://tabelog.com/aichi/A2301/A230103/23007319/
ジュメルニジュウク,京都河原町駅,3.67,-,"￥5,000～￥5,999",https://tabelog.com/kyoto/A2601/A260201/26018401/
ラ・トルチュ,広尾駅,3.67,"￥5,000～￥5,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130703/13124636/
ビストロタツミ,中目黒駅,3.67,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13124449/
前芝料理店,谷町六丁目駅,3.67,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270204/27083821/
AU GAMIN DE TOKIO,恵比寿駅,3.67,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13049720/
ボータン,長谷駅,3.67,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/kanagawa/A1404/A140402/14011457/
レトノ,八丁堀駅,3.67,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1302/A130203/13112175/
ディーバ,天満駅,3.66,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270103/27000511/
ル モンド グルマン,自由が丘駅,3.65,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131703/13187979/
アヒルストア,代々木公園駅,3.65,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1318/A131810/13051357/
カメキチ・ビストロ,谷町四丁目駅,3.65,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270104/27004963/
キュイジーヌ エ ヴァン アルル,神泉駅,3.64,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130301/13141558/
ランデヴー・デ・ザミ,南森町駅,3.64,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270103/27018410/
organ,西荻窪駅,3.64,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1319/A131907/13127009/
ブラッスリー ギョラン,宝町駅,3.63,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130203/13152878/
Aux delices de dodine,大門駅,3.63,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1314/A131401/13151743/
ヌガ,東銀座駅,3.63,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13048464/
ビストロ タカ,湯島駅,3.63,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1311/A131101/13100039/
アンテリブル,築地市場駅,3.63,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1313/A131301/13056009/
ルフージュ,内幸町駅,3.62,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130103/13126959/
デザミ,上石神井駅,3.62,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1321/A132105/13154814/
hugo,都立大学駅,3.61,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131702/13204402/
