店舗名,最寄り,評価,ランチ,ディナー,URL
かしや,三条京阪駅,3.82,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260301/26024343/
カカオティエ ゴカン 高麗橋本店,北浜駅,3.81,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27089982/
クリントン・ストリート・ベイキング・カンパニー 南青山店,表参道駅,3.75,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130602/13159456/
カフェ フロインドリーブ 本店,新神戸駅,3.75,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280101/28000366/
クルミドコーヒー,西国分寺駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1325/A132502/13056474/
CAFE AALIYA,新宿三丁目駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130401/13012089/
自家焙煎珈琲みじんこ,湯島駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13126204/
チャイブレイク,吉祥寺駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1320/A132001/13098849/
和光ティーサロン,銀座駅,3.73,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13009081/
ル カフェドゥ ジョエル・ロブション 日本橋高島屋店,日本橋駅,3.73,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130202/13009090/
白熊菓琲,天文館通駅,3.73,"￥1,000～￥1,999",～￥999,https://tabelog.com/kagoshima/A4601/A460101/46000044/
BERG,新宿駅,3.73,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130401/13004332/
ルーエプラッツ ツオップ,北小金駅,3.72,"￥1,000～￥1,999",-,https://tabelog.com/chiba/A1203/A120302/12004146/
ELEPHANT FACTORY COFFEE,京都河原町駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26005522/
カフェ マメヒコ 三軒茶屋本店,三軒茶屋駅,3.72,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131706/13021745/
Paul Bassett 新宿,西新宿駅,3.72,～￥999,～￥999,https://tabelog.com/tokyo/A1304/A130401/13026041/
ザ・リッツ・カールトン カフェ＆デリ,六本木駅,3.71,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1307/A130701/13037995/
Cafe Tram,恵比寿駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13170379/
ニコラ,三軒茶屋駅,3.71,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131706/13127430/
カフェ ファソン 中目黒本店,中目黒駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131701/13056736/
No.4,麹町駅,3.71,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1309/A130904/13189835/
ゼンカフェ,祇園四条駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260301/26021305/
ル・パン・コティディアン 芝公園店,御成門駅,3.71,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1314/A131401/13120999/
カフェ・ヴェルディ,北山駅,3.70,"￥1,000～￥1,999",-,https://tabelog.com/kyoto/A2601/A260503/26003964/
Turret Coffee,築地駅,3.70,～￥999,～￥999,https://tabelog.com/tokyo/A1313/A131301/13162482/
こちかぜ,玉造駅（大阪メトロ）,3.70,"￥1,000～￥1,999",-,https://tabelog.com/osaka/A2701/A270204/27009604/
リュモンコーヒースタンド,吉祥寺駅,3.70,～￥999,～￥999,https://tabelog.com/tokyo/A1320/A132001/13129877/
カフェ 火裏蓮花,京都市役所前駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260202/26004189/
コーヒーパーラー ヒルトップ,御茶ノ水駅,3.70,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1310/A131002/13006541/
crisscross,表参道駅,3.70,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130602/13148003/
IVY PLACE,代官山駅,3.70,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130303/13134309/
ストリーマー コーヒーカンパニー SHIBUYA,渋谷駅,3.70,～￥999,～￥999,https://tabelog.com/tokyo/A1303/A130301/13109635/
すみだ珈琲,錦糸町駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1312/A131201/13120781/
うさぎや CAFE,上野広小路駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131101/13184732/
サミープー,四ツ橋駅,3.70,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270201/27043023/
トラヤ トウキョウ,東京駅,3.69,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1302/A130201/13147493/
悟空茶荘,石川町駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1401/A140105/14000153/
Paul Bassett 渋谷ヒカリエ ＳｈiｎＱｓ 東横のれん街店,渋谷駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130301/13140156/
ディゾン 水道橋,水道橋駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13182399/
カンダコーヒー,九段下駅,3.69,～￥999,～￥999,https://tabelog.com/tokyo/A1310/A131003/13133520/
ブリコラージュ ブレッド アンド カンパニー ダイニング・カフェ,六本木駅,3.69,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1307/A130701/13222793/
フグレントウキョウ,代々木公園駅,3.69,～￥999,～￥999,https://tabelog.com/tokyo/A1318/A131810/13141002/
カフェーパウリスタ,新橋駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13002648/
ザ・ロビー,日比谷駅,3.69,"￥6,000～￥7,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130102/13043018/
THE ROASTERY BY NOZY COFFEE,明治神宮前駅,3.68,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1303/A130301/13161140/
お茶とお菓子まやんち,蒲田駅,3.68,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1315/A131503/13085237/
みやけ 旧鴻池邸表屋,富雄駅,3.68,"￥1,000～￥1,999",-,https://tabelog.com/nara/A2901/A290102/29004637/
ブルー・ブリック・ラウンジ,表参道駅,3.68,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1306/A130602/13004798/
ローズベーカリー 丸の内,二重橋前駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130201/13122282/
カフェ アクイーユ 恵比寿店,代官山駅,3.68,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13127590/
茶茶の間,明治神宮前駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130601/13043546/
菓子・茶房 チェカ,蹴上駅,3.68,"￥1,000～￥1,999",-,https://tabelog.com/kyoto/A2601/A260301/26016994/
カフェ ビブリオティック ハロー!,丸太町駅（京都市営）,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260202/26000120/
ペリカンカフェ,田原町駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131103/13212182/
エスプレッソ ファクトリー,千駄木駅,3.68,～￥999,～￥999,https://tabelog.com/tokyo/A1311/A131106/13120235/
アマメリア エスプレッソ,武蔵小山駅,3.68,～￥999,～￥999,https://tabelog.com/tokyo/A1317/A131710/13114545/
松之助 京都本店,烏丸御池駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260202/26000068/
カフェ・ドン バイ スフェラ,祇園四条駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260301/26001633/
カフェ ケシパール,神戸三宮駅（阪神）,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280101/28029699/
COFFEE VALLEY,池袋駅,3.67,～￥999,～￥999,https://tabelog.com/tokyo/A1305/A130501/13175074/
一笑,北鉄金沢駅,3.67,"￥1,000～￥1,999",-,https://tabelog.com/ishikawa/A1701/A170101/17000060/
カフェ ミクニズ,四ツ谷駅,3.67,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1309/A130902/13195041/
茶洒 金田中,表参道駅,3.67,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130602/13154538/
ローズベーカリー 銀座,銀座駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13138416/
MLESNATEA OSAKA,西梅田駅,3.67,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27059454/
TORAYA AN STAND 青山一丁目店,青山一丁目駅,3.67,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130603/13127964/
Cafe 1894,二重橋前駅,3.67,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130201/13096426/
市川屋珈琲,清水五条駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260301/26026585/
ナス・ショウゾウ カフェ,高久駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tochigi/A0905/A090501/9000098/
cocoo cafe,阿波座駅,3.67,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27031667/
カフェ リゼッタ 二子玉川店,二子玉川駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131708/13058141/
銀座のジンジャー 銀座本店,銀座一丁目駅,3.67,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13143693/
サロン・ド・テ ロザージュ,神奈川,3.66,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1410/A141001/14002271/
Mallorca,二子玉川駅,3.66,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1317/A131708/13181404/
文明堂カフェ,三越前駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130202/13152670/
CLAMP COFFEE SARASA,二条駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/kyoto/A2601/A260203/26022889/
ロンドンティールーム 堂島店,北新地駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27002171/
うぐいすと穀雨,雑司が谷駅（東京メトロ）,3.66,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1305/A130502/13178579/
エスリビングハナレ,ウッディタウン中央駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/hyogo/A2807/A280703/28014945/
万平ホテル カフェテラス,軽井沢駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/nagano/A2003/A200301/20000151/
