店舗名,最寄り,評価,ランチ,ディナー,URL
トマト,荻窪駅,3.93,"￥4,000～￥4,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1319/A131906/13001113/
Kalpasi,千歳船橋駅,3.90,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1318/A131813/13202529/
SPICY CURRY 魯珈,大久保駅,3.89,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130404/13203027/
ボタニカリー,本町駅,3.88,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27073555/
negombo33,西所沢駅,3.87,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/saitama/A1106/A110601/11015014/
ビートイート,喜多見駅,3.87,"￥2,000～￥2,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1318/A131814/13196455/
一文字カリー店,南郷１８丁目駅,3.86,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010301/1024063/
Ghar,肥後橋駅,3.86,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27066220/
スパイスカレー モクロミ,せんげん台駅,3.85,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/saitama/A1102/A110203/11045458/
カリーヤ！コング,静修学園前駅,3.85,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010104/1029696/
カレーの店 マボロシ,相模原駅,3.85,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1407/A140701/14040492/
森林食堂,二条駅,3.84,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260203/26020410/
メディスンマン,中島公園通駅,3.84,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010104/1003072/
旧ヤム邸 空堀店,谷町六丁目駅,3.84,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270204/27060944/
吉田カレー,荻窪駅,3.83,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1319/A131906/13132405/
curry bar nidomi,谷町四丁目駅,3.83,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270104/27062194/
欧風カレー ボンディ 神保町本店,神保町駅,3.82,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13000439/
Curry Spice Gelateria KALPASI,下北沢駅,3.82,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1318/A131802/13247887/
旧ヤム邸 シモキタ荘,下北沢駅,3.82,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1318/A131802/13211142/
ヨゴロウ,国立競技場駅,3.81,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130601/13076645/
虹の仏,四天王寺前夕陽ケ丘駅,3.81,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270203/27066977/
デリー 上野店,上野広小路駅,3.81,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131101/13003605/
カシミール,北浜駅,3.81,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27003694/
スパイスカレー青藍,高円寺駅,3.80,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131904/13215450/
