店舗名,最寄り,評価,ランチ,ディナー,URL
五十番,西鉄久留米駅,3.75,-,"￥1,000～￥1,999",https://tabelog.com/fukuoka/A4008/A400801/40007271/
新ちゃん,尼崎駅（阪神）,3.74,～￥999,-,https://tabelog.com/hyogo/A2803/A280304/28027880/
ぎょうざの美鈴,宮町駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/mie/A2403/A240301/24000014/
むつ菊,助信駅,3.67,-,"￥1,000～￥1,999",https://tabelog.com/shizuoka/A2202/A220201/22003100/
餃子坊 豚八戒,阿佐ケ谷駅,3.67,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1319/A131905/13090377/
丸正餃子店 本店,住道駅,3.66,-,～￥999,https://tabelog.com/osaka/A2707/A270704/27003163/
餃子 福福,芦屋駅（阪神）,3.66,-,"￥2,000～￥2,999",https://tabelog.com/hyogo/A2803/A280302/28007605/
英洋軒 姫路駅前店,姫路駅,3.64,～￥999,"￥1,000～￥1,999",https://tabelog.com/hyogo/A2805/A280501/28037232/
ミスター・ギョーザ,西大路駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260604/26000028/
野方餃子,野方駅,3.62,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1321/A132104/13154377/
餃子の店 もも,昭和町駅,3.62,-,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270203/27008027/
清ちゃん,銀山町駅,3.61,-,"￥2,000～￥2,999",https://tabelog.com/hiroshima/A3401/A340110/34004387/
您好,幡ケ谷駅,3.60,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1318/A131807/13001812/
香蘭,東武宇都宮駅,3.60,～￥999,～￥999,https://tabelog.com/tochigi/A0901/A090101/9010705/
岐州,名鉄岐阜駅,3.60,-,"￥2,000～￥2,999",https://tabelog.com/gifu/A2101/A210101/21001121/
横浜とんとん,星川駅,3.60,～￥999,～￥999,https://tabelog.com/kanagawa/A1401/A140301/14003956/
中央亭,沼津駅,3.59,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/shizuoka/A2205/A220501/22003420/
えびすの安兵衛,恵比寿駅,3.59,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13117106/
餃子李,薬院駅,3.59,～￥999,"￥2,000～￥2,999",https://tabelog.com/fukuoka/A4001/A400104/40000194/
亜細亜割烹 蓮月,乃木坂駅,3.58,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1307/A130701/13182912/
菜香餃子房,北千住駅,3.58,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1324/A132402/13158080/
餃子専門店 祥雲,三宮駅（神戸市営）,3.58,-,"￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280101/28006275/
湖月,別府駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/oita/A4402/A440202/44000056/
東亭,向原駅,3.57,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13008958/
十番,東中野駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131901/13013490/
八仙,青葉通一番町駅,3.57,-,"￥2,000～￥2,999",https://tabelog.com/miyagi/A0401/A040101/4000029/
天平 北新地本店,北新地駅,3.57,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27000184/
哈爾濱餃子,堀切菖蒲園駅,3.56,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132403/13003085/
ぎょうざ 歩兵 祇園本店,祇園四条駅,3.56,-,"￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260301/26018951/
来々軒,木場駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1313/A131303/13098822/
正嗣 宮島本店,東武宇都宮駅,3.56,～￥999,～￥999,https://tabelog.com/tochigi/A0901/A090101/9000046/
ぎょうざ大学,元町駅（阪神）,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280102/28001632/
喜慕里,高塚駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/shizuoka/A2202/A220201/22002540/
龍門,大鳥居駅,3.55,～￥999,～￥999,https://tabelog.com/tokyo/A1315/A131504/13017770/
正嗣 駒生店,東武宇都宮駅,3.54,～￥999,～￥999,https://tabelog.com/tochigi/A0901/A090101/9001047/
按田餃子 代々木上原店,代々木上原駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1318/A131811/13140146/
和の中,東武宇都宮駅,3.54,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tochigi/A0901/A090101/9000118/
餃子のハルピン,三鷹駅,3.54,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1320/A132002/13005875/
雲龍亭 本店,思案橋駅,3.54,-,"￥1,000～￥1,999",https://tabelog.com/nagasaki/A4201/A420101/42000060/
銀座 天龍 本店,銀座一丁目駅,3.54,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13193356/
おけ以,飯田橋駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1309/A130905/13000410/
ひろめで安兵衛,大橋通駅,3.54,～￥999,"￥1,000～￥1,999",https://tabelog.com/kochi/A3901/A390101/39000464/
博多祇園鉄なべ,祇園駅,3.54,-,"￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400101/40000836/
餃子屋 満園,旧居留地・大丸前駅,3.54,-,"￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280102/28023397/
むつぎく,浜松駅,3.53,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/shizuoka/A2202/A220201/22021065/
ぎょうざ処 高辻 亮昌 本店,四条駅（京都市営）,3.53,～￥999,～￥999,https://tabelog.com/kyoto/A2601/A260201/26017170/
