店舗名,最寄り,評価,ランチ,ディナー,URL
ALDEBARAN,六本木駅,3.81,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1307/A130701/13222186/
Burger POLICE,都立大学駅,3.80,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1317/A131702/13255370/
パントリー コヨーテ,葭川公園駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/chiba/A1201/A120101/12020222/
THE BURGER HEARTS,盛駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/iwate/A0304/A030403/3005292/
アイコウシャ,水道橋駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13006525/
ニック&レネイ,少路駅（大阪モノレール）,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2706/A270602/27043816/
folk burgers&beers,神保町駅,3.72,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131003/13224811/
No.18,池袋駅,3.72,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1305/A130501/13172081/
CRUZ BURGERS & CRAFT BEERS,四ツ谷駅,3.71,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1309/A130902/13189090/
hide mode,本郷三丁目駅,3.70,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1310/A131004/13222449/
エーバーガーズ カフェ,島原駅,3.69,"￥1,000～￥1,999",-,https://tabelog.com/nagasaki/A4203/A420302/42006200/
R-S,常盤平駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/chiba/A1203/A120302/12006175/
シェイクツリー バーガー＆バー,錦糸町駅,3.69,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1312/A131201/13134063/
マンチズ バーガー シャック,芝公園駅,3.69,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1314/A131401/13121856/
Burger Stand Tender,白山駅,3.69,"￥1,000～￥1,999",-,https://tabelog.com/niigata/A1501/A150101/15018604/
ダコタ ラスティック テーブル,横山駅,3.69,"￥1,000～￥1,999",-,https://tabelog.com/hyogo/A2801/A280112/28052720/
ビッグスマイル,稲戸井駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/ibaraki/A0803/A080301/8000941/
キャプテンカンガルー,沖縄,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okinawa/A4702/A470202/47027004/
リーフ バーガー,西熊本駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kumamoto/A4301/A430101/43007888/
Jack37Burger,小伝馬町駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130204/13186781/
エスビーダイナー コウベ,神戸三宮駅（阪急）,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280101/28025659/
オールドニューダイナー,西国立駅,3.67,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1329/A132901/13196856/
ペペキッチン,弘前駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/aomori/A0202/A020201/2007884/
ミサロッソ,北佐世保駅,3.66,～￥999,"￥1,000～￥1,999",https://tabelog.com/nagasaki/A4202/A420201/42000523/
コディーズ,元町・中華街駅,3.66,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140105/14077868/
チョッパーズ,小手指駅,3.66,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/saitama/A1106/A110601/11040099/
Reg On Diner,渋谷駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130301/13054359/
THE BURGER STAND FELLOWS,表参道駅,3.66,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130602/13020792/
ザ リスコ,東別院駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/aichi/A2301/A230105/23059609/
COOKER'S GRILL,辻堂駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1404/A140404/14066337/
ブッチャーズテーブル 大泉学園店,大泉学園駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1321/A132103/13091061/
ベースストリート,佐世保中央駅,3.65,～￥999,-,https://tabelog.com/nagasaki/A4202/A420201/42006045/
ザ ビーチ バーガー ハウス,宮崎神宮駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/miyazaki/A4501/A450101/45009161/
ブラザーズ 人形町本店,人形町駅,3.65,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1302/A130204/13003002/
ザグッドベアーバーガー 貝沢本店,高崎問屋町駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/gunma/A1001/A100102/10014094/
ザ・コーナー ハンバーガー＆サルーン,国際センター駅,3.64,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230101/23036425/
ルーフトップス,鎌倉駅,3.64,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1404/A140402/14058323/
ベーカーバウンス,西太子堂駅,3.64,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131706/13004780/
ショーグンバーガー 新宿店,新宿西口駅,3.63,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1304/A130401/13227776/
ファイヤーハウス,本郷三丁目駅,3.63,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131004/13003538/
ハンサム バーガー,伏見駅,3.63,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230102/23058190/
Stamina本舗 Kaya,日宇駅,3.63,～￥999,～￥999,https://tabelog.com/nagasaki/A4202/A420201/42000279/
