店舗名,最寄り,評価,ランチ,ディナー,URL
酒盃,泉外旭川駅,3.98,-,"￥8,000～￥9,999",https://tabelog.com/akita/A0501/A050101/5000004/
和洋酒菜 ひで,心斎橋駅,3.97,-,"￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270201/27013057/
魚虎,黒崎駅,3.95,-,"￥8,000～￥9,999",https://tabelog.com/fukuoka/A4004/A400404/40021924/
食堂とだか,五反田駅,3.89,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131603/13187669/
さけ富,秋田駅,3.85,-,"￥6,000～￥7,999",https://tabelog.com/akita/A0501/A050101/5008588/
大どころ,薬院大通駅,3.85,-,"￥10,000～￥14,999",https://tabelog.com/fukuoka/A4001/A400104/40036894/
ながほり,玉造駅（大阪メトロ）,3.83,-,"￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270204/27000581/
ビストロ割烹 YAOYA,出町柳駅,3.83,-,"￥10,000～￥14,999",https://tabelog.com/kyoto/A2601/A260302/26000502/
永楽食堂,秋田駅,3.80,-,"￥4,000～￥4,999",https://tabelog.com/akita/A0501/A050101/5002822/
産直屋 たか,神泉駅,3.77,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13008327/
せいもん払い,中洲川端駅,3.77,-,"￥10,000～￥14,999",https://tabelog.com/fukuoka/A4001/A400102/40000029/
海の日,栄駅（名古屋）,3.77,-,"￥10,000～￥14,999",https://tabelog.com/aichi/A2301/A230103/23047210/
居酒屋 大江戸,矢場町駅,3.76,-,"￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230103/23007244/
酒囲屋本店,西川緑道公園駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/okayama/A3301/A330101/33006896/
こいで,北鉄金沢駅,3.76,-,"￥20,000～￥29,999",https://tabelog.com/ishikawa/A1701/A170101/17001005/
おき野,近鉄四日市駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/mie/A2402/A240201/24004901/
酒場わたなべ,川口駅,3.76,-,"￥8,000～￥9,999",https://tabelog.com/saitama/A1102/A110201/11022309/
のどぐろ専門 銀座 中俣,東銀座駅,3.76,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13186922/
赤垣屋,京都市役所前駅,3.75,-,"￥6,000～￥7,999",https://tabelog.com/kyoto/A2601/A260302/26001072/
酒肴 新屋敷,西早稲田駅,3.75,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1305/A130503/13193868/
田中田 博多本店,西鉄平尾駅,3.75,-,"￥15,000～￥19,999",https://tabelog.com/fukuoka/A4001/A400104/40000919/
なな治,三条駅,3.75,-,"￥6,000～￥7,999",https://tabelog.com/kyoto/A2601/A260301/26006925/
高太郎,渋谷駅,3.75,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13123997/
うどん えんどう,東福寺駅,3.75,～￥999,-,https://tabelog.com/kyoto/A2601/A260304/26034416/
新橋 いっぱし,内幸町駅,3.74,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130103/13224766/
大衆酒場 ゑびす,近鉄四日市駅,3.74,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/mie/A2402/A240201/24011299/
