店舗名,最寄り,評価,ランチ,ディナー,URL
天のや,麻布十番駅,3.83,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1307/A130702/13014306/
カフェ・鈴木,本厚木駅,3.80,～￥999,～￥999,https://tabelog.com/kanagawa/A1408/A140802/14004103/
カフェ・ド・ランブル,新橋駅,3.75,～￥999,～￥999,https://tabelog.com/tokyo/A1301/A130103/13002564/
タイズ,本郷三丁目駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131004/13018359/
茶亭 羽當,渋谷駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130301/13001169/
喫茶葦島,京都市役所前駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26015997/
十一房珈琲店,銀座一丁目駅,3.74,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13007721/
スマート珈琲店,京都市役所前駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26000647/
倉敷珈琲館,倉敷市駅,3.73,～￥999,-,https://tabelog.com/okayama/A3302/A330201/33000383/
ニューアストリア,千里中央駅,3.73,～￥999,～￥999,https://tabelog.com/osaka/A2706/A270601/27002923/
Cafe Bach,南千住駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132401/13003759/
草枕,内幸町駅,3.73,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13043012/
はまの屋パーラー 有楽町店,有楽町駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130102/13041024/
トリコロール 本店,銀座駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13007761/
コーヒーハウス かこ 花車本店,国際センター駅,3.72,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230101/23005509/
珈琲舎 蔵,神保町駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13011597/
フランソア喫茶室,祇園四条駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26000900/
高山珈琲,淡路町駅,3.70,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13011257/
ル プルミエ カフェ in ビギ・ファースト,心斎橋駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27004529/
ばん珈琲店,森ノ宮駅,3.70,"￥1,000～￥1,999",～￥999,https://tabelog.com/osaka/A2701/A270107/27037023/
YOU,東銀座駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13002318/
モール&ホソイコーヒーズ,淀屋橋駅,3.70,～￥999,～￥999,https://tabelog.com/osaka/A2701/A270102/27020048/
皇琲亭,池袋駅,3.70,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13003947/
COFFEE HALL くぐつ草,吉祥寺駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1320/A132001/13005791/
平岡珈琲店,本町駅,3.70,～￥999,～￥999,https://tabelog.com/osaka/A2701/A270106/27000071/
カヤバ珈琲,根津駅,3.70,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1311/A131104/13019585/
トゥジュール デビュテ,五反田駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131603/13059498/
ヘッケルン,虎ノ門駅,3.69,～￥999,～￥999,https://tabelog.com/tokyo/A1308/A130802/13057178/
炭火焙煎珈琲・凛,銀座駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13004102/
コヒア アラビカ,赤坂見附駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1308/A130801/13013444/
