店舗名,最寄り,評価,ランチ,ディナー,URL
お好み焼き てっちゃん 本店,三原駅,3.78,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hiroshima/A3404/A340303/34000530/
福太郎 本店,近鉄日本橋駅,3.74,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270202/27002665/
ひろしま丸かじり 中ちゃん,銀山町駅,3.73,-,"￥3,000～￥3,999",https://tabelog.com/hiroshima/A3401/A340110/34004408/
お好み焼 きじ 梅田スカイビル店,大阪駅,3.71,"￥1,000～￥1,999",～￥999,https://tabelog.com/osaka/A2701/A270101/27000322/
お好み焼き 福竹,蓮沼駅,3.71,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1317/A131714/13003312/
AT THE 21,少路駅（大阪モノレール）,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2706/A270601/27010845/
お好み焼きもみじ,谷町九丁目駅,3.70,-,"￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270205/27040855/
もりぐち,六甲道駅,3.70,-,"￥3,000～￥3,999",https://tabelog.com/hyogo/A2801/A280108/28005999/
広島お好み焼き 弘々家,幡生駅,3.69,～￥999,"￥1,000～￥1,999",https://tabelog.com/yamaguchi/A3502/A350201/35001993/
京祇園ねぎ焼 粉,野町駅,3.69,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/ishikawa/A1701/A170101/17005442/
広島お好み焼き おこたろう,亀有駅,3.68,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1324/A132403/13061247/
お好み焼 平野屋,七尾駅,3.67,～￥999,"￥2,000～￥2,999",https://tabelog.com/ishikawa/A1703/A170302/17003809/
浪花,練馬駅,3.66,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1321/A132102/13008999/
かっちゃん 井口本店,修大協創中高前駅,3.66,-,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340122/34001909/
お好み焼き 八昌,銀山町駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340108/34019405/
八昌,経堂駅,3.66,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1318/A131813/13013135/
美作 神戸北野店,三宮駅（神戸市営）,3.65,-,"￥3,000～￥3,999",https://tabelog.com/hyogo/A2801/A280101/28000977/
お好み焼 オモニ 本店,鶴橋駅,3.65,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270205/27000560/
祇園ねぎ焼 かな 東店,祇園四条駅,3.64,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kyoto/A2601/A260301/26000572/
花,京橋駅,3.64,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270107/27019304/
タマちゃん,寒河駅,3.63,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okayama/A3305/A330501/33000431/
山本まんぼ,京都駅,3.62,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kyoto/A2601/A260101/26034294/
源亀,錦糸町駅,3.62,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1312/A131201/13072955/
薬研堀 八昌,胡町駅,3.62,-,"￥2,000～￥2,999",https://tabelog.com/hiroshima/A3401/A340110/34000100/
ぼてふく,可児川駅,3.62,-,"￥1,000～￥1,999",https://tabelog.com/gifu/A2102/A210203/21001810/
キャベツ畑,大船駅,3.62,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1404/A140401/14002209/
広島風お好み焼き かっちゃん,清武駅,3.62,～￥999,～￥999,https://tabelog.com/miyazaki/A4501/A450102/45003947/
ノルド,立花駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2803/A280304/28016979/
お好み焼き 大樹,海田市駅,3.61,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340404/34002051/
どんたく,中崎町駅,3.61,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27009618/
お好み焼・鉄板焼　TEKOJIMAN,下曽根駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4004/A400502/40041252/
お好み焼 村上,尾道駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hiroshima/A3406/A340302/34002148/
五日市 八昌,楽々園駅,3.60,"￥1,000～￥1,999",～￥999,https://tabelog.com/hiroshima/A3401/A340126/34002563/
富士屋,住吉駅（阪神）,3.60,～￥999,"￥2,000～￥2,999",https://tabelog.com/hyogo/A2801/A280106/28022791/
味乃家 本店,大阪難波駅,3.60,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270202/27001439/
てんてこ 武庫之荘店,武庫之荘駅,3.60,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2803/A280304/28008622/
象屋,玉出駅,3.59,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270406/27002851/
あじと,西条駅,3.59,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3407/A340701/34018117/
お好み焼き ちとせ,動物園前駅,3.58,～￥999,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270206/27019100/
お好み焼き88,広島,3.58,～￥999,～￥999,https://tabelog.com/hiroshima/A3405/A340503/34008119/
お好み焼 きじ 品川店,品川駅,3.58,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1314/A131403/13120197/
関西風専門店　お好み焼き　祇園 ていれぎ南高井店,鷹ノ子駅,3.58,～￥999,"￥1,000～￥1,999",https://tabelog.com/ehime/A3801/A380101/38006432/
お好み焼吉野,七条駅,3.58,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kyoto/A2601/A260304/26001618/
じだん,戸坂駅,3.58,～￥999,～￥999,https://tabelog.com/hiroshima/A3401/A340104/34014638/
USHIO,六本木駅,3.57,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1307/A130701/13038559/
お好み焼 きじ 丸の内店,東京駅,3.57,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130201/13020110/
花んらん,鮎喰駅,3.57,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokushima/A3601/A360101/36002120/
ひろかずや 東通り店,中崎町駅,3.57,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270103/27006484/
夢屋,京都市役所前駅,3.57,-,"￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260302/26005094/
お好み焼 千草,天満駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270103/27002204/
お好み焼 もりした,日生駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okayama/A3305/A330501/33001118/
広島お好み焼き 廣,祗園橋駅,3.56,～￥999,"￥1,000～￥1,999",https://tabelog.com/kumamoto/A4301/A430101/43001242/
ロペズ,横川駅,3.56,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340103/34000131/
お好み焼 三幸,下祇園駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340107/34015747/
お好み焼 きじ 本店,梅田駅,3.56,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27000297/
モッさんのべた焼 壬生店,西院駅（京福）,3.56,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kyoto/A2601/A260401/26024610/
なんばん亭 下北沢店,下北沢駅,3.56,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1318/A131802/13037445/
広島流お好み焼 つかさ,六十谷駅,3.56,-,"￥1,000～￥1,999",https://tabelog.com/wakayama/A3001/A300101/30000437/
ぼてやん多奈加,電鉄富山駅・エスタ前駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/toyama/A1601/A160101/16007479/
やまさ家,高取駅,3.56,～￥999,～￥999,https://tabelog.com/hiroshima/A3401/A340107/34000287/
かんらん車,土橋駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340119/34003125/
新天地 みっちゃん,八丁堀駅,3.56,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/hiroshima/A3401/A340109/34000362/
博多八昌 西新店,西新駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400203/40000467/
お好み焼 青森,駒ケ林駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280110/28000773/
広島風お好み焼き 石,新居浜駅,3.55,～￥999,"￥1,000～￥1,999",https://tabelog.com/ehime/A3802/A380203/38000309/
あっちゃん,春日野道駅（阪神）,3.55,-,～￥999,https://tabelog.com/hyogo/A2801/A280103/28014143/
ねぎ焼やまもと 梅田エスト店,大阪梅田駅（阪急）,3.55,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27003858/
お好み焼 ひかり,ハーバーランド駅,3.54,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/hyogo/A2801/A280102/28005916/
あらた,東寺駅,3.54,-,"￥5,000～￥5,999",https://tabelog.com/kyoto/A2601/A260101/26001641/
お好み焼 ゆりちゃん,伴中央駅,3.54,～￥999,～￥999,https://tabelog.com/hiroshima/A3401/A340107/34008555/
お好み焼 ひらの,皆実町二丁目駅,3.54,～￥999,～￥999,https://tabelog.com/hiroshima/A3401/A340123/34000404/
ふみや お好み焼き 本店,瓦町駅,3.54,～￥999,～￥999,https://tabelog.com/kagawa/A3701/A370101/37001631/
ピカリ,大街道駅,3.54,～￥999,"￥1,000～￥1,999",https://tabelog.com/ehime/A3801/A380101/38006060/
くろちゃん,緑橋駅,3.54,-,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270107/27011789/
のんのん,比治山下駅,3.54,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3401/A340123/34008394/
ねぎ焼やまもと 本店,十三駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270302/27000981/
はやしのお好み焼,徳島駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokushima/A3601/A360101/36000129/
双月,扇町駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270103/27002280/
あそう,尾道駅,3.54,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3406/A340302/34014487/
山口お好み屋,岩屋駅,3.52,～￥999,～￥999,https://tabelog.com/saga/A4102/A410201/41000467/
日の出,三津駅,3.52,～￥999,～￥999,https://tabelog.com/ehime/A3801/A380101/38000268/
戸田亘のお好み焼 さんて寛,六本木一丁目駅,3.52,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1307/A130701/13163322/
お好み焼き いまり 恵比寿店,恵比寿駅,3.52,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13155810/
広島風お好み焼 もみじ屋,飯田橋駅,3.52,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1309/A130905/13000245/
美津の,日本橋駅,3.52,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270202/27001278/
じゃけん 名古屋店,国際センター駅,3.51,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230101/23035482/
カープ 東京支店,神田駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13004170/
あべとん,天王寺駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270203/27017208/
オモニ グランフロント大阪店,大阪駅,3.51,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27072543/
お好み焼き こころ,助信駅,3.51,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/shizuoka/A2202/A220201/22005981/
福太郎 なんばダイニングメゾン店,難波駅（南海）,3.51,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270202/27046834/
お好み焼き 越田 本店,胡町駅,3.51,-,"￥2,000～￥2,999",https://tabelog.com/hiroshima/A3401/A340109/34001191/
ふみちゃん 流川店,胡町駅,3.50,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/hiroshima/A3401/A340109/34000405/
お好み焼き Sakura,梅田駅,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27006469/
ムーンサルト,阿波富田駅,3.50,～￥999,～￥999,https://tabelog.com/tokushima/A3601/A360101/36000776/
お好み焼 はやと,呉駅,3.50,～￥999,"￥1,000～￥1,999",https://tabelog.com/hiroshima/A3404/A340401/34000667/
ソニア,汐留駅,3.49,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130103/13023882/
