店舗名,最寄り,評価,ランチ,ディナー,URL
400℃ PIZZA,柳川駅,3.99,"￥5,000～￥5,999","￥5,000～￥5,999",https://tabelog.com/okayama/A3301/A330101/33015797/
ザ ピッツァバー ON 38TH,三越前駅,3.83,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130202/13167573/
hectopascal,二俣川駅,3.81,"￥6,000～￥7,999","￥8,000～￥9,999",https://tabelog.com/kanagawa/A1401/A140303/14085676/
ピッツェリア ダ マッシモ,平和駅,3.76,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010301/1031158/
ピッツェリア・ロマーナ・イル・ペンティート,南新宿駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1318/A131810/13000684/
エンボカ 京都,烏丸御池駅,3.76,"￥4,000～￥4,999","￥5,000～￥5,999",https://tabelog.com/kyoto/A2601/A260202/26017525/
シシリヤ,日本大通り駅,3.76,-,"￥4,000～￥4,999",https://tabelog.com/kanagawa/A1401/A140104/14001040/
BACAR,県庁前駅,3.74,-,"￥8,000～￥9,999",https://tabelog.com/okinawa/A4701/A470101/47003553/
イル・ピッツァイオーロ,北仙台駅,3.73,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/miyagi/A0401/A040101/4016875/
ピッツェリア・スクニッツォ・ダ・シゲオ,天神橋筋六丁目駅,3.73,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270103/27053555/
ピッツェリア・ダ・ガエターノ 薬院店,薬院駅,3.73,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/fukuoka/A4001/A400104/40028105/
聖林館,中目黒駅,3.73,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1317/A131701/13003188/
ピッツェリア パーレンテッシ,池尻大橋駅,3.72,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1317/A131705/13006076/
Pizzeria Bakka M'unica,鮫洲駅,3.71,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1315/A131501/13182694/
ファカロー ピッツァ ギャラリー,新御徒町駅,3.71,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1311/A131101/13269491/
アズーリ,三宮駅（神戸市営）,3.71,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/hyogo/A2801/A280102/28004410/
ピッツエリア エ トラットリア ダ イーサ,中目黒駅,3.71,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1317/A131701/13103245/
窯焼きピザの店ラ・ビエール,水上駅,3.71,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/gunma/A1003/A100302/10001239/
