店舗名,最寄り,評価,ランチ,ディナー,URL
玉笑,明治神宮前駅,4.16,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1306/A130601/13129390/
薮蕎麦 宮本,六合駅,4.07,"￥4,000～￥4,999","￥8,000～￥9,999",https://tabelog.com/shizuoka/A2203/A220302/22000036/
石臼挽き蕎麦香房 山の実,長野,3.95,"￥2,000～￥2,999",-,https://tabelog.com/nagano/A2001/A200104/20000397/
赤間茶屋 あ三五,薬院駅,3.93,"￥2,000～￥2,999","￥15,000～￥19,999",https://tabelog.com/fukuoka/A4001/A400104/40003973/
玄,近鉄奈良駅,3.92,"￥3,000～￥3,999","￥15,000～￥19,999",https://tabelog.com/nara/A2901/A290101/29000052/
慈久庵,茨城,3.92,"￥2,000～￥2,999",-,https://tabelog.com/ibaraki/A0805/A080502/8000227/
ろあん松田 篠山店,兵庫,3.87,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2807/A280702/28000070/
仲佐,下呂駅,3.84,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/gifu/A2104/A210403/21000060/
土家,東村山駅,3.82,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1328/A132806/13061606/
蕎麦おさめ,六本木駅,3.81,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13229398/
玄水,栄駅（名古屋）,3.80,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/aichi/A2301/A230103/23074368/
浅草じゅうろく,浅草駅（つくばＥＸＰ）,3.80,"￥4,000～￥4,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1311/A131102/13185027/
手打蕎麦 わくり,中津川駅,3.79,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/gifu/A2103/A210303/21014458/
竹やぶ 柏本店,北柏駅,3.79,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/chiba/A1203/A120301/12000067/
隆兵そば,桂駅,3.79,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/kyoto/A2601/A260401/26002686/
せきざわ,都住駅,3.79,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/nagano/A2001/A200106/20000282/
吟八亭 やざ和,亀有駅,3.78,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132403/13003083/
流山 すず季,初石駅,3.78,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/chiba/A1203/A120305/12003116/
