店舗名,最寄り,評価,ランチ,ディナー,URL
くいしんぼー山中,桂駅,4.25,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/kyoto/A2601/A260401/26002126/
神楽坂 鉄板焼 中むら,飯田橋駅,4.01,-,"￥40,000～￥49,999",https://tabelog.com/tokyo/A1309/A130905/13134663/
ステーキハウス キッチンリボン,桜山駅,4.00,"￥5,000～￥5,999","￥30,000～￥39,999",https://tabelog.com/aichi/A2301/A230108/23000494/
神戸牛炉釜ステーキ GINZA KOKO炉,銀座一丁目駅,3.96,-,"￥30,000～￥39,999",https://tabelog.com/tokyo/A1301/A130101/13224979/
かわむら,東京,3.96,-,"￥100,000～",https://tabelog.com/tokyo/A1301/A130101/13016506/
麤皮,三宮駅（神戸市営）,3.94,"￥30,000～￥39,999","￥40,000～￥49,999",https://tabelog.com/hyogo/A2801/A280101/28000962/
キャラバン,唐津駅,3.94,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/saga/A4102/A410201/41002233/
ウェスタ,日本橋駅,3.93,"￥30,000～￥39,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1302/A130202/13185496/
ステーキハウス バロン,花畑町駅,3.93,-,"￥40,000～￥49,999",https://tabelog.com/kumamoto/A4301/A430101/43000201/
トロワフレーシュ,内幸町駅,3.92,-,"￥30,000～￥39,999",https://tabelog.com/tokyo/A1301/A130103/13130978/
ビーフステーキ専門店　ひよこ,野町駅,3.84,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/ishikawa/A1701/A170101/17001557/
北新地 福多亭,北新地駅,3.84,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/osaka/A2701/A270101/27066944/
銀座うかい亭,東銀座駅,3.79,"￥15,000～￥19,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13002367/
祗園 一道,祇園四条駅,3.79,-,"￥30,000～￥39,999",https://tabelog.com/kyoto/A2601/A260301/26018265/
大淀河畔 みやちく,南宮崎駅,3.78,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/miyazaki/A4501/A450101/45000328/
銀座 ひらやま,築地市場駅,3.78,"￥15,000～￥19,999","￥80,000～￥99,999",https://tabelog.com/tokyo/A1313/A131301/13151917/
六角堂,蒲郡駅,3.78,"￥5,000～￥5,999","￥15,000～￥19,999",https://tabelog.com/aichi/A2306/A230603/23000855/
横浜うかい亭,つきみ野駅,3.78,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/kanagawa/A1407/A140702/14000790/
中勢以 小石川店,茗荷谷駅,3.77,"￥3,000～￥3,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1323/A132302/13152057/
但馬牛倶楽部炉釜炭焼ステーキ 一宮,東銀座駅,3.77,-,"￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13231933/
存じやす　極,東武宇都宮駅,3.76,-,"￥20,000～￥29,999",https://tabelog.com/tochigi/A0901/A090101/9007919/
神戸牛炉釜炭焼ステーキ IDEA 銀座,銀座駅,3.76,-,"￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13161192/
ウルフギャング・ステーキハウス 丸の内店,二重橋前駅,3.75,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130201/13175479/
五明 ｇｏｍｅｉ,銀座駅,3.73,"￥30,000～￥39,999","￥80,000～￥99,999",https://tabelog.com/tokyo/A1301/A130101/13187289/
潜龍,田神駅,3.73,"￥15,000～￥19,999","￥15,000～￥19,999",https://tabelog.com/gifu/A2101/A210101/21000012/
FORNO,広尾駅,3.73,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13220897/
和黒 北野坂本店,三宮駅（神戸市営）,3.73,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/hyogo/A2801/A280101/28000954/
PENTHOUSE GINZA hanare:,新橋駅,3.73,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13209209/
鉄板焼ステーキ 一ッ葉ミヤチク,宮崎駅,3.72,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/miyazaki/A4501/A450101/45000084/
Peter Luger Steak House Tokyo,恵比寿駅,3.72,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13258435/
表参道うかい亭,明治神宮前駅,3.72,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1306/A130601/13044361/
ステーキ＆ワイン いしざき,すすきの駅（市営）,3.72,-,"￥20,000～￥29,999",https://tabelog.com/hokkaido/A0101/A010103/1002853/
あざみ野うかい亭,あざみ野駅,3.72,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/kanagawa/A1401/A140201/14003795/
大栄,摩耶駅,3.72,-,"￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280103/28001806/
麤皮,御成門駅,3.72,"￥30,000～￥39,999","￥80,000～￥99,999",https://tabelog.com/tokyo/A1314/A131401/13002897/
裏虎,東京,3.72,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1317/A131701/13216607/
備長炭ステーキ炉　Sakai,大須観音駅,3.71,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/aichi/A2301/A230105/23000754/
哥利歐,築地市場駅,3.71,"￥20,000～￥29,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1313/A131301/13002356/
蔵 鉄板焼＆寿司,渡辺橋駅,3.71,"￥10,000～￥14,999","￥30,000～￥39,999",https://tabelog.com/osaka/A2701/A270102/27097667/
大胡椒,勾当台公園駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/miyagi/A0401/A040101/4001116/
西洋料理 島,京橋駅,3.71,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130202/13000495/
近江牛専門店 近江かど萬,びわ湖浜大津駅,3.70,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/shiga/A2501/A250101/25000686/
Samwells,県庁前駅,3.70,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/hyogo/A2801/A280102/28037006/
神戸牛炉窯焼ステーキ 雪月風花 北野坂,三宮駅（神戸市営）,3.70,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280101/28037181/
Ｏ’ｓ Ｈｏｕｓｅ,旭橋駅,3.70,-,"￥8,000～￥9,999",https://tabelog.com/okinawa/A4701/A470101/47001572/
佐賀牛 季楽 銀座,銀座駅,3.70,"￥8,000～￥9,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13020504/
八王子うかい亭,京王八王子駅,3.70,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1329/A132904/13006015/
ビフテキのカワムラ 銀座店,銀座駅,3.70,"￥5,000～￥5,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13061204/
ゆたか,祇園四条駅,3.70,"￥4,000～￥4,999","￥40,000～￥49,999",https://tabelog.com/kyoto/A2601/A260301/26001272/
飛騨牛グリルばくろ,名鉄岐阜駅,3.69,"￥4,000～￥4,999","￥15,000～￥19,999",https://tabelog.com/gifu/A2101/A210101/21010723/
ブルボン,高山駅,3.69,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/gifu/A2104/A210401/21000079/
神戸プレジール 本店,三宮駅（神戸市営）,3.69,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280101/28008218/
加藤牛肉店 銀座,銀座駅,3.69,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13076544/
鉄板キュイジーヌ長尾,城下駅,3.69,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/okayama/A3301/A330101/33006740/
米沢牛亭 ぐっど,米沢駅,3.69,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/yamagata/A0602/A060201/6000031/
喜瀬,沖縄,3.68,"￥3,000～￥3,999","￥20,000～￥29,999",https://tabelog.com/okinawa/A4702/A470201/47011807/
定谷,入谷駅,3.68,"￥15,000～￥19,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1311/A131104/13031814/
じゃんけんぽん,北海道,3.68,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0108/A010804/1022575/
ステーキ いぐち,北新地駅,3.68,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270101/27011398/
千薫庵,上社駅,3.68,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/aichi/A2301/A230111/23001008/
baron,三宮駅（神戸市営）,3.68,-,"￥30,000～￥39,999",https://tabelog.com/hyogo/A2801/A280101/28049006/
ビーフクラブ ノエル,松阪駅,3.68,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/mie/A2401/A240102/24001065/
鎌倉山 本店,西鎌倉駅,3.68,"￥15,000～￥19,999","￥15,000～￥19,999",https://tabelog.com/kanagawa/A1404/A140402/14000275/
くずし鉄板 あばぐら 神田店,新日本橋駅,3.68,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1310/A131002/13197319/
みやす,元町駅（ＪＲ）,3.67,-,"￥15,000～￥19,999",https://tabelog.com/hyogo/A2801/A280102/28000524/
コーナーズグリル,沖縄,3.67,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/okinawa/A4705/A470501/47004364/
四季彩鉄板くさの,新西大寺町筋駅,3.66,"￥4,000～￥4,999","￥8,000～￥9,999",https://tabelog.com/okayama/A3301/A330101/33011311/
利心,尾上の松駅,3.66,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2804/A280402/28015268/
岡半 本店,銀座駅,3.66,"￥2,000～￥2,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13002562/
ボビノ,北新地駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/osaka/A2701/A270101/27005232/
香月,盛岡駅,3.66,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/iwate/A0301/A030101/3000152/
和牛ステーキ桜 那須高原店,栃木,3.66,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tochigi/A0905/A090501/9002675/
FRENCH TEPPAN 静香庵,新潟駅,3.66,"￥4,000～￥4,999","￥15,000～￥19,999",https://tabelog.com/niigata/A1501/A150101/15013868/
Akamiya COWSI,渡辺通駅,3.66,-,"￥10,000～￥14,999",https://tabelog.com/fukuoka/A4001/A400103/40037316/
那古亭,名古屋駅,3.65,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/aichi/A2301/A230101/23000324/
嘉門,桜ノ宮駅,3.65,"￥8,000～￥9,999","￥30,000～￥39,999",https://tabelog.com/osaka/A2701/A270304/27003663/
佐賀牛レストラン季楽 本店,佐賀駅,3.65,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/saga/A4101/A410101/41000012/
和黒 新神戸店,新神戸駅,3.65,"￥8,000～￥9,999","￥15,000～￥19,999",https://tabelog.com/hyogo/A2801/A280103/28000955/
ステーキ懐石都 春日,東福山駅,3.64,"￥6,000～￥7,999","￥20,000～￥29,999",https://tabelog.com/hiroshima/A3403/A340305/34000084/
BENJAMIN STEAK HOUSE ROPPONGI,六本木駅,3.64,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13209863/
Steak Dining Vitis,中目黒駅,3.64,"￥8,000～￥9,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1317/A131701/13173227/
しらかわ,水戸駅,3.64,-,"￥10,000～￥14,999",https://tabelog.com/ibaraki/A0801/A080101/8009475/
Akami Modern Chop House,新福島駅,3.63,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270108/27096329/
グルマンズ和牛,東武日光駅,3.63,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tochigi/A0903/A090301/9000108/
ロウリーズ・ザ・プライムリブ 大阪,西梅田駅,3.62,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270101/27018310/
ステーキハウス新吾,三条京阪駅,3.62,-,"￥20,000～￥29,999",https://tabelog.com/kyoto/A2601/A260301/26006053/
宮崎牛鉄板焼 なか窪,宮崎神宮駅,3.61,-,-,https://tabelog.com/miyazaki/A4501/A450101/45010544/
ルース クリス ステーキハウス,虎ノ門駅,3.60,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130802/13045091/
弥勒,田町駅,3.60,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/okayama/A3301/A330101/33010405/
クローバーステーキハウス,烏山駅,3.60,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/tochigi/A0904/A090403/9000092/
ロウリーズ・ザ・プライムリブ 恵比寿ガーデンプレイス店,恵比寿駅,3.60,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13165420/
神戸牛ステーキ Ishida. 本店,三宮駅（神戸市営）,3.59,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280101/28032718/
AUBE．鉄板料理 つむぎ,宮崎駅,3.59,-,"￥6,000～￥7,999",https://tabelog.com/miyazaki/A4501/A450101/45000797/
ステーキレストランそうま,逗子・葉山駅,3.59,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/kanagawa/A1406/A140602/14002324/
ウルフギャング・ステーキハウス 六本木,六本木駅,3.58,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13164062/
ライおン,川東駅,3.56,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/saga/A4102/A410202/41000002/
鉄板焼き 高見,広尾駅,3.55,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13021191/
SAMURAI dos Premium Steak House 八重洲鉄鋼ビル店,東京駅,3.54,"￥6,000～￥7,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130201/13197877/
ウルフギャング・ステーキハウス 大阪店,大阪駅,3.54,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/osaka/A2701/A270101/27084039/
Peter,日比谷駅,3.49,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130102/13042813/
