店舗名,最寄り,評価,ランチ,ディナー,URL
直ちゃん,延岡駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/miyazaki/A4505/A450501/45000063/
活魚料理 びんび家,徳島,3.73,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokushima/A3601/A360102/36000021/
季節料理 魚竹,築地駅,3.70,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1313/A131301/13002300/
お食事処 大原,早川駅,3.70,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1409/A140901/14023879/
菱田屋,駒場東大前駅,3.69,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1318/A131801/13010480/
さすけ食堂,浜金谷駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/chiba/A1206/A120603/12014064/
はまぐり食道,桑名駅,3.68,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/mie/A2402/A240203/24001360/
かつれつ四谷たけだ,四ツ谷駅,3.68,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1309/A130902/13131643/
市場食堂 城南店,いづろ通駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/kagoshima/A4601/A460101/46000812/
魚久 イートイン あじみせ 本店,人形町駅,3.66,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1302/A130204/13051336/
とんかつ小田保 場内店,市場前駅,3.66,-,-,https://tabelog.com/tokyo/A1313/A131307/13026535/
宗庵 よこ長,嬉野温泉駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/saga/A4104/A410401/41000038/
愛南 市場食堂,愛媛,3.66,-,-,https://tabelog.com/ehime/A3804/A380404/38007391/
シロクマ食堂,小樽駅,3.65,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/hokkaido/A0106/A010601/1037103/
里の宿,吉祥寺駅,3.65,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1320/A132001/13026447/
しゃけ小島 本店,代田橋駅,3.64,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1318/A131808/13095793/
炭火焼専門食処 白銀屋,西新宿駅,3.63,～￥999,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1304/A130401/13047017/
かつお食堂,渋谷駅,3.63,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13237611/
大和,佐賀,3.63,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/saga/A4102/A410201/41000157/
西麻布 三河屋,乃木坂駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1307/A130701/13001331/
魚佐,逗子・葉山駅,3.61,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1406/A140602/14002849/
永井食堂,津久田駅,3.60,～￥999,～￥999,https://tabelog.com/gunma/A1004/A100401/10000040/
あらし,鳴門駅,3.60,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/tokushima/A3601/A360102/36000020/
民宿 青塚食堂,北海道,3.60,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/hokkaido/A0106/A010601/1001467/
もつ煮屋 日の出食堂,新伊勢崎駅,3.60,～￥999,～￥999,https://tabelog.com/gunma/A1002/A100202/10005887/
銀シャリ屋 ゲコ亭,寺地町駅,3.59,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2705/A270501/27003060/
今井食堂,北山駅,3.59,～￥999,～￥999,https://tabelog.com/kyoto/A2601/A260503/26001221/
割烹 三友,人形町駅,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130204/13048033/
海幸楽膳 釜つる,来宮駅,3.58,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/shizuoka/A2205/A220502/22000010/
kei楽,清瀬駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1328/A132803/13101028/
大黒,大阪難波駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270202/27001293/
博多ごまさば屋,赤坂駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400104/40034751/
梅山鉄平食堂 本店,渡辺通駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400103/40018886/
スワチカ,大崎広小路駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131603/13014630/
もつ煮 太郎,柏たなか駅,3.57,～￥999,～￥999,https://tabelog.com/chiba/A1203/A120301/12001718/
ここのつ,北千住駅,3.57,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132402/13158606/
多け乃,築地駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1313/A131301/13007634/
きっちん 浜家,錦糸町駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1312/A131201/13101687/
まるいち食堂,神奈川,3.56,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/kanagawa/A1406/A140603/14012378/
ダイニングステージ 佐海屋,難波駅（南海）,3.56,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270202/27012103/
