店舗名,最寄り,評価,ランチ,ディナー,URL
にい留,高岳駅,4.67,-,"￥50,000～￥59,999",https://tabelog.com/aichi/A2301/A230104/23050337/
成生,新静岡駅,4.59,-,"￥30,000～￥39,999",https://tabelog.com/shizuoka/A2201/A220101/22037788/
たきや,麻布十番駅,4.52,-,"￥50,000～￥59,999",https://tabelog.com/tokyo/A1307/A130702/13185763/
田ざわ,杉並町駅,4.35,-,"￥20,000～￥29,999",https://tabelog.com/hokkaido/A0105/A010501/1000077/
くすのき,四ツ谷駅,4.33,"￥30,000～￥39,999","￥60,000～￥79,999",https://tabelog.com/tokyo/A1309/A130902/13223239/
日本橋 蕎ノ字,人形町駅,4.31,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1302/A130204/13201969/
天白,葭川公園駅,4.26,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/chiba/A1201/A120101/12037698/
美かさ,宮崎台駅,4.24,-,"￥20,000～￥29,999",https://tabelog.com/kanagawa/A1405/A140507/14000813/
秋田 てんぷら みかわ,秋田駅,4.20,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/akita/A0501/A050101/5007142/
みかわ 是山居,門前仲町駅,4.16,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1313/A131303/13090866/
天ぷら もっこす,倉賀野駅,4.11,-,"￥30,000～￥39,999",https://tabelog.com/gunma/A1001/A100102/10000668/
天ぷら たけうち,博多南駅,4.09,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/fukuoka/A4003/A400301/40013636/
天ぷらあら木,すすきの駅（市営）,4.07,-,"￥20,000～￥29,999",https://tabelog.com/hokkaido/A0101/A010103/1048079/
てんぷら 深町,京橋駅,4.06,"￥15,000～￥19,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130202/13004105/
ぬま田,北新地駅,3.96,-,"￥30,000～￥39,999",https://tabelog.com/osaka/A2701/A270101/27119864/
天ぷら 松,松尾大社駅,3.91,"￥20,000～￥29,999","￥30,000～￥39,999",https://tabelog.com/kyoto/A2601/A260403/26001461/
