店舗名,最寄り,評価,ランチ,ディナー,URL
とんかつ成蔵,南阿佐ケ谷駅,4.22,"￥5,000～￥5,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1319/A131905/13236380/
とんかつ マンジェ,八尾駅,4.17,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/osaka/A2707/A270705/27013624/
とんかつあさくら,相生山駅,3.96,-,"￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230112/23003992/
美はる,尾張旭駅,3.91,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2303/A230302/23043621/
かつ丼多勝,新屋駅,3.90,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/akita/A0501/A050101/5008061/
とんかつ けい太,西荻窪駅,3.85,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1319/A131907/13241723/
とん太,高田馬場駅,3.85,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1305/A130503/13003984/
とんかつ ばんぶー,本八幡駅,3.84,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/chiba/A1202/A120202/12050758/
Katsuプリポー,西武新宿駅,3.84,"￥4,000～￥4,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1304/A130401/13264309/
車力門 ちゃわんぶ,四谷三丁目駅,3.84,"￥5,000～￥5,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1309/A130903/13234679/
幸楽,第一通り駅,3.81,"￥4,000～￥4,999","￥3,000～￥3,999",https://tabelog.com/shizuoka/A2202/A220201/22000181/
丸一,京急蒲田駅,3.79,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1315/A131503/13017765/
あげづき,飯田橋駅,3.78,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1309/A130905/13107796/
丸五,秋葉原駅,3.77,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131001/13000379/
銀座かつかみ,銀座駅,3.77,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13225476/
キッチン美味小家,甲府駅,3.77,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/yamanashi/A1901/A190101/19000291/
とんかつ檍 銀座店,新橋駅,3.77,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13219635/
とんかつ燕楽,池上駅,3.76,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131714/13034183/
もち豚とんかつ たいよう,武蔵小山駅,3.76,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131710/13059862/
吉平,岩本町駅,3.76,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131002/13237293/
とんかつ 乃ぐち,中津駅（阪急）,3.76,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270101/27126154/
空蝉亭,二条城前駅,3.75,"￥4,000～￥4,999","￥3,000～￥3,999",https://tabelog.com/kyoto/A2601/A260203/26030601/
とんかつ やまいち,淡路町駅,3.74,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13042246/
とんかつ かつせい,五橋駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/miyagi/A0401/A040101/4000211/
ニューベイブ,谷町四丁目駅,3.73,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270104/27121557/
とんかつ ますいや,今福鶴見駅,3.72,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270305/27004283/
とんかつ檍 蒲田本店,蒲田駅,3.72,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1315/A131503/13114843/
勝烈亭 南熊本店,南熊本駅,3.72,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/kumamoto/A4301/A430101/43006564/
とんかつ中村,千林大宮駅,3.72,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270304/27092639/
とんかつ いわい,大門駅,3.72,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1314/A131401/13170377/
とんかつ あづま,上今市駅,3.71,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tochigi/A0903/A090302/9000137/
とんかつ七井戸,外苑前駅,3.71,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130603/13229075/
とんかつ 力亭,上田駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/nagano/A2004/A200401/20005756/
かつ好,人形町駅,3.69,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1302/A130204/13204633/
とんかつ青柳,甲府駅,3.69,"￥5,000～￥5,999","￥5,000～￥5,999",https://tabelog.com/yamanashi/A1901/A190101/19000006/
とんかつ瓢,柏駅,3.69,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/chiba/A1203/A120301/12038382/
勝烈亭 新市街本店,辛島町駅,3.69,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kumamoto/A4301/A430101/43000307/
豚笑,東福山駅,3.69,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/hiroshima/A3403/A340305/34011550/
epais,北新地駅,3.69,"￥2,000～￥2,999","￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270101/27072441/
カツレツMATUMURA,名鉄名古屋駅,3.69,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230101/23073675/
とんかつ山本,京都市役所前駅,3.69,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/kyoto/A2601/A260202/26006075/
かつ吉 野庵,南守谷駅,3.69,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/ibaraki/A0803/A080301/8000050/
とんかつ野崎,松阪駅,3.69,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/mie/A2401/A240102/24001400/
ぽくぽく,近鉄奈良駅,3.69,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/nara/A2901/A290101/29006452/
とんかつ 椛,吉野町駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1401/A140306/14072173/
とんかつ 檍 横浜馬車道店,馬車道駅,3.68,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1401/A140104/14077627/
