店舗名,最寄り,評価,ランチ,ディナー,URL
瞬,静岡,4.56,"￥30,000～￥39,999","￥40,000～￥49,999",https://tabelog.com/shizuoka/A2201/A220101/22019273/
かぶと,池袋駅,4.41,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1305/A130501/13016660/
う嵐,三井寺駅,4.37,"￥10,000～￥14,999",-,https://tabelog.com/shiga/A2501/A250101/25004102/
うなぎ亭 友栄,風祭駅,4.20,"￥6,000～￥7,999","￥6,000～￥7,999",https://tabelog.com/kanagawa/A1410/A141001/14001626/
うなぎ 魚政,四ツ木駅,4.17,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1324/A132403/13035339/
田代,尾張瀬戸駅,4.07,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/aichi/A2303/A230302/23003045/
山勢,松本駅,4.03,"￥5,000～￥5,999","￥20,000～￥29,999",https://tabelog.com/nagano/A2002/A200201/20021045/
麟,新浜松駅,3.98,"￥8,000～￥9,999",-,https://tabelog.com/shizuoka/A2202/A220201/22037448/
うな善,渡辺通駅,3.88,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/fukuoka/A4001/A400104/40005813/
鰻 むさし乃,浦和駅,3.87,"￥6,000～￥7,999","￥5,000～￥5,999",https://tabelog.com/saitama/A1101/A110102/11003959/
鰻家,西中島南方駅,3.87,"￥5,000～￥5,999","￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270301/27080635/
うなぎの美鶴,慈眼寺駅,3.86,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/kagoshima/A4601/A460101/46003010/
しげ吉,関駅,3.84,"￥3,000～￥3,999","￥4,000～￥4,999",https://tabelog.com/gifu/A2102/A210204/21000054/
うな富士,鶴舞駅,3.83,"￥6,000～￥7,999","￥5,000～￥5,999",https://tabelog.com/aichi/A2301/A230105/23000105/
小暮や,天王台駅,3.83,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/chiba/A1203/A120304/12000292/
鰻禅,本所吾妻橋駅,3.83,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1312/A131203/13058979/
うなぎ時任,麻布十番駅,3.83,"￥15,000～￥19,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1307/A130702/13224663/
尾花,南千住駅,3.81,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1324/A132401/13003509/
鰻 にしはら,谷町四丁目駅,3.80,"￥4,000～￥4,999","￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270104/27081196/
辻屋,せきてらす前駅,3.79,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/gifu/A2102/A210204/21000002/
イチビキ,国際センター駅,3.79,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230101/23001379/
わたべ,春日駅,3.79,"￥8,000～￥9,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1310/A131003/13042184/
うなぎ家 しば福や,国際センター駅,3.78,"￥5,000～￥5,999","￥6,000～￥7,999",https://tabelog.com/aichi/A2301/A230101/23067466/
