店舗名,最寄り,評価,ランチ,ディナー,URL
鳥しき,目黒駅,4.48,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131601/13041029/
薪鳥新神戸,麻布十番駅,4.37,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13260471/
鳥匠 いし井,なにわ橋駅,4.32,-,"￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270103/27117938/
焼き鳥 とりら,西鉄平尾駅,4.30,-,"￥15,000～￥19,999",https://tabelog.com/fukuoka/A4001/A400104/40001934/
オオクサ,四谷三丁目駅,4.27,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130903/13240980/
鳥田中,鐘ケ淵駅,4.20,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1312/A131203/13208669/
南青山 七鳥目,広尾駅,4.19,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130703/13200559/
かさ原,神楽坂駅,4.11,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1309/A130905/13266251/
焼鳥 谷口,武庫之荘駅,4.08,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/hyogo/A2803/A280304/28051479/
焼鳥　おみ乃,押上駅,4.03,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1312/A131203/13206654/
鳥さき,烏丸御池駅,4.03,-,"￥15,000～￥19,999",https://tabelog.com/kyoto/A2601/A260202/26033122/
鳥さわ22,広尾駅,3.98,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130703/13222625/
焼鳥 みずき,名鉄岐阜駅,3.96,-,"￥10,000～￥14,999",https://tabelog.com/gifu/A2101/A210101/21012245/
鍈輝,恵比寿駅,3.95,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13230923/
とり茶太郎,渋谷駅,3.94,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130301/13157208/
とり喜,錦糸町駅,3.91,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1312/A131201/13026017/
里葉亭,日ノ出町駅,3.91,-,"￥10,000～￥14,999",https://tabelog.com/kanagawa/A1401/A140102/14001650/
YAKITORI 燃 es,六本木駅,3.91,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13259508/
鳥さわ,亀戸駅,3.91,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1312/A131202/13135959/
吾一,肥後橋駅,3.90,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270102/27112024/
おみ乃 神谷町,神谷町駅,3.89,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130704/13255846/
鶏一途,住吉駅（ＪＲ・六甲ライナー）,3.88,"￥6,000～￥7,999","￥8,000～￥9,999",https://tabelog.com/hyogo/A2801/A280106/28008517/
焼鳥 市松,北新地駅,3.88,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270101/27013209/
鳥匠いし井ひな,麻布十番駅,3.87,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130702/13271040/
鳥長,練馬駅,3.86,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1321/A132102/13058892/
蛤坂 まえかわ,野町駅,3.85,-,"￥15,000～￥19,999",https://tabelog.com/ishikawa/A1701/A170101/17012585/
1000,関内駅,3.84,-,"￥15,000～￥19,999",https://tabelog.com/kanagawa/A1401/A140104/14083143/
hou,青葉通一番町駅,3.83,-,"￥10,000～￥14,999",https://tabelog.com/miyagi/A0401/A040101/4023532/
BLESS,森下駅,3.80,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1312/A131201/13246437/
いし井Jr.,なにわ橋駅,3.80,-,"￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270103/27117939/
焼鳥 うの,奥沢駅,3.79,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1317/A131711/13130757/
焼鳥 篠原,乃木坂駅,3.79,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13254666/
焼鳥 梵讃,三宮駅（神戸市営）,3.78,-,"￥10,000～￥14,999",https://tabelog.com/hyogo/A2801/A280101/28045860/
焼き鳥 とり篠,岩屋駅,3.78,-,"￥15,000～￥19,999",https://tabelog.com/hyogo/A2801/A280103/28053092/
地葉 栄,矢場町駅,3.78,-,"￥8,000～￥9,999",https://tabelog.com/aichi/A2301/A230103/23074332/
炭火串焼専門店 鶏天,さくら夙川駅,3.77,-,"￥8,000～￥9,999",https://tabelog.com/hyogo/A2803/A280301/28007459/
やきとりshira,梅ケ丘駅,3.77,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1318/A131812/13193012/
根津 焼鳥 照隅,根津駅,3.77,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1311/A131106/13182104/
地葉はなれ,横浜駅,3.77,-,"￥10,000～￥14,999",https://tabelog.com/kanagawa/A1401/A140101/14074964/
地葉,馬車道駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/kanagawa/A1401/A140104/14070995/
心伯,東梅田駅,3.76,-,"￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270101/27122059/
焼鶏 ひらこ,六本木駅,3.76,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130701/13232545/
やきとり 心香,六本木駅,3.76,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13134990/
とり澤,中目黒駅,3.75,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13248473/
あやむ屋,新福島駅,3.74,-,"￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270108/27001234/
焼鳥 茜,神楽坂駅,3.74,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13196727/
老松みやもと,大江橋駅,3.74,-,"￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270102/27106123/
焼鳥YAMATO,北新地駅,3.74,-,"￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270101/27052799/
鳥さわ 麻布十番,麻布十番駅,3.74,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130702/13234334/
炭匠 御厨,南森町駅,3.74,-,"￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270103/27106249/
やきとり 陽火,白金高輪駅,3.74,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1316/A131602/13247688/
焼鳥 おがわ,四谷三丁目駅,3.73,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1309/A130903/13158357/
蒼天 南口店,向原駅,3.73,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1323/A132302/13092061/
焼鳥 鐡,京橋駅,3.73,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130202/13252090/
焼鳥 山もと,三鷹駅,3.73,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1320/A132002/13187433/
焼鳥こくれ,福島駅,3.73,-,"￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270108/27114944/
炭火焼鳥 きち蔵,阿波座駅,3.72,-,"￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270105/27060726/
鳥よし 中目黒本店,中目黒駅,3.72,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131701/13003200/
鳥焼 笹や,目黒駅,3.72,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1316/A131601/13045529/
鳥恵 上野広小路店,上野広小路駅,3.72,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1311/A131101/13128870/
味川,宮崎駅,3.72,-,"￥3,000～￥3,999",https://tabelog.com/miyazaki/A4501/A450101/45003063/
道しるべ,西武新宿駅,3.71,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130401/13101685/
焼鳥　瀬尾,東京駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130201/13147468/
