店舗名,最寄り,評価,ランチ,ディナー,URL
洋食 つばき,岐阜,4.13,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/gifu/A2101/A210101/21017221/
kitchen俊貴,小幡駅,3.95,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/aichi/A2301/A230114/23070084/
らんぷ亭,宮崎駅,3.89,-,"￥10,000～￥14,999",https://tabelog.com/miyazaki/A4501/A450101/45000889/
洋食の店 橋本,通町筋駅,3.88,"￥4,000～￥4,999","￥10,000～￥14,999",https://tabelog.com/kumamoto/A4301/A430101/43000997/
洋食 おがた,京都市役所前駅,3.84,"￥4,000～￥4,999","￥15,000～￥19,999",https://tabelog.com/kyoto/A2601/A260202/26026540/
グリルフレンチ,二条城前駅,3.81,"￥5,000～￥5,999","￥10,000～￥14,999",https://tabelog.com/kyoto/A2601/A260203/26000658/
レストラン香味屋,入谷駅,3.79,"￥4,000～￥4,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1311/A131104/13003752/
クリコロ,今池駅,3.79,"￥8,000～￥9,999","￥8,000～￥9,999",https://tabelog.com/aichi/A2301/A230106/23070149/
東洋軒,赤坂見附駅,3.78,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130801/13164394/
洋食の店　みしな,祇園四条駅,3.77,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260301/26001870/
ゴメンネJIRO,天満駅,3.76,-,"￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270103/27012753/
資生堂パーラー 銀座本店,新橋駅,3.75,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13004938/
洋食の朝日,西元町駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280102/28000591/
C.D.TAKOH,大江橋駅,3.74,-,"￥20,000～￥29,999",https://tabelog.com/osaka/A2701/A270102/27000621/
グリル グランド,浅草駅（つくばＥＸＰ）,3.73,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1311/A131102/13008702/
アルペンローゼ,長野,3.70,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/nagano/A2002/A200202/20000481/
南蛮 銀圓亭,銀座駅,3.70,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13002305/
銀座スイス,銀座駅,3.70,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13002462/
洋食・ワイン フリッツ,春日駅,3.69,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1310/A131004/13195479/
麻布食堂,広尾駅,3.69,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1307/A130703/13243727/
風,勝沼ぶどう郷駅,3.69,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/yamanashi/A1901/A190104/19000024/
洋食屋 綺・Luck,桜木町駅,3.68,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/kanagawa/A1401/A140102/14005150/
七條,小川町駅,3.68,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13152996/
キッチン ノム,一社駅,3.68,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230111/23038279/
グリル佐久良,浅草駅（つくばＥＸＰ）,3.67,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1311/A131102/13003755/
洋食 三浦亭,武蔵関駅,3.67,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1321/A132105/13040217/
すゞ家 赤門店,上前津駅,3.67,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230105/23000039/
みかわや,銀座駅,3.66,"￥6,000～￥7,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13002421/
ジャンジャンブル,高槻市駅,3.66,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2706/A270604/27014753/
グリルK 千石本店,千石駅,3.65,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1323/A132301/13059129/
